metric_optim,lr,fold,NSR,dataset,metric_eval,y
rr,0.001,0,1,Epinions,AP,0.5988
rr,0.001,0,1,Epinions,NDCG,0.8121
rr,0.001,0,1,Epinions,RBP_80,0.5375
rr,0.001,0,1,Epinions,RBP_90,0.4507
rr,0.001,0,1,Epinions,RBP_95,0.3385
rr,0.001,0,1,Epinions,RR,0.823
ap,0.001,0,2,Epinions,AP,0.871
ap,0.001,0,2,Epinions,NDCG,0.952
ap,0.001,0,2,Epinions,RBP_80,0.792
ap,0.001,0,2,Epinions,RBP_90,0.6116
ap,0.001,0,2,Epinions,RBP_95,0.4181
ap,0.001,0,2,Epinions,RR,0.9751
dcg,0.001,0,2,Epinions,AP,0.8716
dcg,0.001,0,2,Epinions,NDCG,0.9526
dcg,0.001,0,2,Epinions,RBP_80,0.7925
dcg,0.001,0,2,Epinions,RBP_90,0.612
dcg,0.001,0,2,Epinions,RBP_95,0.4183
dcg,0.001,0,2,Epinions,RR,0.9773
rbp_80,0.001,0,2,Epinions,AP,0.8389
rbp_80,0.001,0,2,Epinions,NDCG,0.9408
rbp_80,0.001,0,2,Epinions,RBP_80,0.7742
rbp_80,0.001,0,2,Epinions,RBP_90,0.5969
rbp_80,0.001,0,2,Epinions,RBP_95,0.4091
rbp_80,0.001,0,2,Epinions,RR,0.9745
rbp_90,0.001,0,2,Epinions,AP,0.8572
rbp_90,0.001,0,2,Epinions,NDCG,0.9476
rbp_90,0.001,0,2,Epinions,RBP_80,0.7855
rbp_90,0.001,0,2,Epinions,RBP_90,0.6055
rbp_90,0.001,0,2,Epinions,RBP_95,0.414
rbp_90,0.001,0,2,Epinions,RR,0.977
rbp_95,0.001,0,2,Epinions,AP,0.8721
rbp_95,0.001,0,2,Epinions,NDCG,0.9536
rbp_95,0.001,0,2,Epinions,RBP_80,0.7946
rbp_95,0.001,0,2,Epinions,RBP_90,0.6126
rbp_95,0.001,0,2,Epinions,RBP_95,0.4182
rbp_95,0.001,0,2,Epinions,RR,0.9817
rr,0.001,0,2,Epinions,AP,0.4587
rr,0.001,0,2,Epinions,NDCG,0.7375
rr,0.001,0,2,Epinions,RBP_80,0.4272
rr,0.001,0,2,Epinions,RBP_90,0.3568
