metric_optim,lr,fold,NSR,dataset,metric_eval,y
rr,3,1,2,citeulike,NDCG,0.7073
rr,3,1,2,citeulike,RBP_80,0.3736
rr,3,1,2,citeulike,RBP_90,0.3237
rr,3,1,2,citeulike,RBP_95,0.2569
rr,3,1,2,citeulike,RR,0.6738
ap,1,1,5,citeulike,AP,0.7241
ap,1,1,5,citeulike,NDCG,0.882
ap,1,1,5,citeulike,RBP_80,0.6605
ap,1,1,5,citeulike,RBP_90,0.5129
ap,1,1,5,citeulike,RBP_95,0.3572
ap,1,1,5,citeulike,RR,0.917
dcg,1,1,5,citeulike,AP,0.7298
dcg,3,1,5,citeulike,NDCG,0.8856
dcg,3,1,5,citeulike,RBP_80,0.6648
dcg,1,1,5,citeulike,RBP_90,0.5136
dcg,1,1,5,citeulike,RBP_95,0.3567
dcg,3,1,5,citeulike,RR,0.9208
rbp_80,0.01,1,5,citeulike,AP,0.7783
rbp_80,0.01,1,5,citeulike,NDCG,0.908
rbp_80,0.01,1,5,citeulike,RBP_80,0.7027
rbp_80,0.01,1,5,citeulike,RBP_90,0.5414
rbp_80,0.01,1,5,citeulike,RBP_95,0.3722
rbp_80,0.01,1,5,citeulike,RR,0.9364
rbp_90,0.01,1,5,citeulike,AP,0.7785
rbp_90,0.01,1,5,citeulike,NDCG,0.9081
rbp_90,0.01,1,5,citeulike,RBP_80,0.7024
rbp_90,0.01,1,5,citeulike,RBP_90,0.5415
rbp_90,0.01,1,5,citeulike,RBP_95,0.3724
rbp_90,0.01,1,5,citeulike,RR,0.9374
rbp_95,0.01,1,5,citeulike,AP,0.7778
rbp_95,0.01,1,5,citeulike,NDCG,0.9076
rbp_95,0.01,1,5,citeulike,RBP_80,0.7018
rbp_95,0.01,1,5,citeulike,RBP_90,0.5414
rbp_95,0.01,1,5,citeulike,RBP_95,0.3725
rbp_95,0.01,1,5,citeulike,RR,0.9356
rr,10,1,5,citeulike,AP,0.2455
rr,10,1,5,citeulike,NDCG,0.5721
rr,10,1,5,citeulike,RBP_80,0.2145
rr,10,1,5,citeulike,RBP_90,0.1871
rr,10,1,5,citeulike,RBP_95,0.1607
rr,10,1,5,citeulike,RR,0.4933
ap,3,2,1,citeulike,AP,0.8574
ap,3,2,1,citeulike,NDCG,0.9425
ap,3,2,1,citeulike,RBP_80,0.7553
ap,3,2,1,citeulike,RBP_90,0.5822
ap,3,2,1,citeulike,RBP_95,0.3969
ap,3,2,1,citeulike,RR,0.9621
dcg,3,2,1,citeulike,AP,0.8559
dcg,3,2,1,citeulike,NDCG,0.9432
dcg,10,2,1,citeulike,RBP_80,0.7547
dcg,3,2,1,citeulike,RBP_90,0.5802
dcg,3,2,1,citeulike,RBP_95,0.3954
dcg,10,2,1,citeulike,RR,0.9662
rbp_80,0.1,2,1,citeulike,AP,0.914
rbp_80,0.1,2,1,citeulike,NDCG,0.9666
rbp_80,0.1,2,1,citeulike,RBP_80,0.7963
rbp_80,0.1,2,1,citeulike,RBP_90,0.6074
rbp_80,0.1,2,1,citeulike,RBP_95,0.4089
rbp_80,0.1,2,1,citeulike,RR,0.9784
rbp_90,0.1,2,1,citeulike,AP,0.914
rbp_90,0.1,2,1,citeulike,NDCG,0.9666
rbp_90,0.1,2,1,citeulike,RBP_80,0.7963
rbp_90,0.1,2,1,citeulike,RBP_90,0.6074
rbp_90,0.1,2,1,citeulike,RBP_95,0.4089
rbp_90,0.1,2,1,citeulike,RR,0.9784
