loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rr,0.01,0,0,0,1.0,128,0.5044,0.779,0.7027,0.5727,0.4878,0.4231,0.3195
dcg,0.1,0,0,0,1.0,8,0.7612,0.8899,0.9014,0.748,0.6613,0.5189,0.3633
dcg,0.1,0,0,0,1.0,16,0.7929999999999999,0.9034,0.9291,0.7701,0.6842,0.532,0.3695
rr,0.01,0,0,0,1.0,64,0.5045,0.7808,0.7056,0.5756,0.4858,0.4214,0.3186
ap,0.05,0,0,0,1.0,128,0.6915,0.8561,0.8516,0.6968,0.6268,0.5104,0.3648
rbp,0.05,0,0,0,1.0,128,0.9306,0.9694,0.9826,0.9197,0.7998,0.6099,0.4103
dcg,0.1,0,0,0,1.0,32,0.8106,0.9128,0.9404,0.7882,0.6985,0.5405,0.3734
dcg,0.1,0,0,0,1.0,64,0.8277,0.9202,0.9495,0.8023,0.7120000000000001,0.5489,0.3775
dcg,0.1,0,0,0,1.0,128,0.8428,0.9265,0.9589,0.8141,0.7218,0.5547,0.3805
rr,0.05,0,0,0,1.0,8,0.5026,0.7798,0.7042,0.5735,0.4846,0.4204,0.318
dcg,0.3,0,0,0,1.0,8,0.8344,0.9252,0.9437,0.8205,0.7256,0.563,0.387
rr,0.05,0,0,0,1.0,16,0.4969,0.7772,0.6973,0.57,0.4813,0.4197,0.3182
dcg,0.3,0,0,0,1.0,16,0.8577,0.9353,0.9598,0.8395,0.7418,0.5724,0.3915
rr,0.05,0,0,0,1.0,64,0.5032,0.7801,0.7113,0.5728,0.4827,0.4181,0.3165
rr,0.05,0,0,0,1.0,32,0.5056,0.7792,0.705,0.5725,0.4857,0.4207,0.3181
dcg,0.3,0,0,0,1.0,32,0.8679,0.9409,0.9643,0.8513,0.7504,0.5778,0.3942
ap,0.1,0,0,0,1.0,8,0.7563,0.8868,0.8833,0.7543,0.6726,0.5357,0.3757
ap,0.1,0,0,0,1.0,32,0.8364,0.9274,0.9417,0.8301,0.733,0.5716,0.39299999999999996
ap,0.1,0,0,0,1.0,64,0.8205,0.9176,0.9322,0.8102,0.7188,0.5633,0.3893
rr,0.05,0,0,0,1.0,128,0.5184,0.7851,0.7436,0.5732,0.488,0.418,0.3156
ap,0.1,0,0,0,1.0,16,0.7896,0.9038,0.9089,0.7857,0.6983,0.5517,0.3838
ap,0.1,0,0,0,1.0,128,0.8369,0.9252,0.9415,0.8238,0.7316,0.5705,0.3924
dcg,0.3,0,0,0,1.0,64,0.8759999999999999,0.9443,0.9696,0.8575,0.7552,0.5807,0.3956
dcg,0.3,0,0,0,1.0,128,0.8835,0.9474,0.9705,0.8645,0.7605,0.5836,0.3969
rbp,0.3,0,0,0,1.0,8,0.8798,0.9478,0.95,0.877,0.7643,0.5895,0.4009
rbp,0.3,0,0,0,1.0,16,0.904,0.9584,0.9672,0.8969,0.7802,0.5981,0.4047
rbp,0.3,0,0,0,1.0,32,0.9143,0.9629,0.9711,0.9068,0.7878,0.6025,0.4066
rr,0.1,0,0,0,1.0,8,0.5033,0.7801,0.7052,0.5737,0.4849,0.4205,0.318
rbp,0.3,0,0,0,1.0,128,0.9234,0.9670000000000001,0.972,0.9167,0.7948,0.6069,0.4088
rr,0.1,0,0,0,1.0,32,0.5051,0.7792,0.7051,0.5724,0.4856,0.4205,0.3181
rr,0.1,0,0,0,1.0,16,0.4969,0.7772,0.6973,0.57,0.4813,0.4197,0.3182
rr,0.1,0,0,0,1.0,64,0.5196,0.7862,0.7417,0.5760000000000001,0.4915,0.4208,0.3167
rr,0.1,0,0,0,1.0,128,0.5227,0.7855,0.7493,0.5727,0.4894,0.4179,0.3151
ap,0.3,0,0,0,1.0,16,0.8340000000000001,0.9256,0.9407,0.8255,0.7298,0.5695,0.392
ap,0.3,0,0,0,1.0,8,0.8290000000000001,0.9238,0.9376,0.8218,0.7257,0.5663,0.3899
rbp,0.3,0,0,0,1.0,64,0.9189,0.9648,0.9701,0.9119,0.7918,0.6051,0.4079
ap,0.3,0,0,0,1.0,32,0.8363,0.9272,0.9409,0.83,0.733,0.5715,0.39299999999999996
ap,0.3,0,0,0,1.0,64,0.8518,0.9339,0.9495,0.8424,0.7431,0.5772,0.3955
ap,0.3,0,0,0,1.0,128,0.8689,0.9417,0.96,0.8566,0.7552,0.5835,0.3982
rr,0.3,0,0,0,1.0,8,0.5082,0.7821,0.7135,0.5752,0.4867,0.4211,0.3181
rr,0.3,0,0,0,1.0,64,0.5304,0.7904,0.7551,0.5796,0.4959,0.4217,0.317
rr,0.3,0,0,0,1.0,16,0.5065,0.7809,0.7218,0.5706,0.483,0.41700000000000004,0.3156
rr,0.3,0,0,0,1.0,32,0.5333,0.7902,0.7542,0.5799,0.499,0.4243,0.3182
rr,0.3,0,0,0,1.0,128,0.5254,0.7877,0.7565,0.5747,0.4922,0.4193,0.3157
rbp,0.5,0,0,0,1.0,8,0.848,0.9347,0.9253,0.8537,0.7437,0.5787,0.396
rbp,0.5,0,0,0,1.0,16,0.8692,0.9440000000000001,0.9336,0.8746,0.7598,0.5884,0.4007
rbp,0.5,0,0,0,1.0,64,0.8992,0.9572,0.9507,0.9009999999999999,0.7809999999999999,0.6005,0.4062
rbp,0.5,0,0,0,1.0,32,0.8873,0.9513,0.9419,0.8894,0.7722,0.5958,0.4042
rbp,0.5,0,0,0,1.0,128,0.8985,0.9574,0.9509,0.9015,0.7805,0.6003,0.4063
dcg,1.0,0,0,0,1.0,32,0.8712,0.9429,0.9667,0.8553,0.7534,0.58,0.3956
rbp,0.001,0,0,0,1.0,32,0.8804,0.9476,0.9569,0.8759,0.7662,0.5920000000000001,0.4028
ap,1.0,0,0,0,1.0,32,0.8657,0.9404,0.9619,0.8528,0.7505,0.5797,0.3958
dcg,1.0,0,0,0,2.0,32,0.8381,0.9248,0.9551,0.8124,0.722,0.5574,0.3831
rbp,0.001,0,0,0,2.0,32,0.8469,0.9308,0.9504,0.8333,0.7369,0.5711,0.3914
rbp,0.01,0,0,0,2.0,32,0.8778,0.9427,0.9608,0.8576,0.7564,0.5811,0.3953
ap,1.0,0,0,0,2.0,32,0.8326,0.9228,0.951,0.8095,0.7206,0.5574,0.3834
rr,1.0,0,0,0,2.0,32,0.3979,0.7001,0.6562,0.4244,0.3639,0.319,0.2551
dcg,1.0,0,0,0,5.0,32,0.7802,0.8885,0.9322,0.732,0.6659,0.5139,0.3571
rbp,0.001,0,0,0,5.0,32,0.8015,0.8992,0.9233,0.7623,0.6903,0.5344,0.3693
rbp,0.01,0,0,0,5.0,32,0.8195,0.907,0.9349,0.7764,0.7015,0.5398,0.3711
ap,1.0,0,0,0,5.0,32,0.7692,0.8834,0.9201,0.7245,0.6613,0.5124,0.3565
rr,1.0,0,0,0,5.0,32,0.2265,0.5637,0.4623,0.2388,0.2012,0.1787,0.1561
ndcg_5,0.1,0,0,0,1.0,5,0.5029,0.7782,0.6969,0.5719,0.4839,0.4207,0.3182
dcg,1.0,0,0,0,1.0,120,0.8847,0.9483,0.9742,0.866,0.7614,0.5846,0.3977
ndcg_5,1.0,0,0,0,1.0,120,0.8847,0.9482,0.9740000000000001,0.8659,0.7614,0.5846,0.3977
dcg,5.0,0,0,0,1.0,32,0.8717,0.9428,0.9666,0.8554,0.7535,0.58,0.3955
ndcg_5,5.0,0,0,0,1.0,32,0.8717,0.9424,0.9665,0.8536,0.7527,0.5793,0.3951
dcg,10.0,0,0,0,1.0,32,0.8722,0.9426,0.9658,0.855,0.7533,0.58,0.3955
dcg,3.0,0,0,0,1.0,32,0.8721,0.9432,0.9674,0.8556,0.7536,0.5801,0.3956
ndcg_5,10.0,0,0,0,1.0,32,0.8725,0.9426,0.9665,0.8546,0.7531,0.5797,0.3954
ndcg_5,3.0,0,0,0,1.0,32,0.8721,0.9429,0.9669,0.8549,0.7531,0.5798,0.3954
dcg,0.001,0,0,0,1.0,32,0.5053,0.7793,0.7061,0.5724,0.4855,0.4205,0.3181
ndcg_5,0.001,0,0,0,1.0,32,0.506,0.7792,0.705,0.5725,0.4857,0.4207,0.3181
ndcg_5,0.1,0,0,0,1.0,32,0.8106,0.9128,0.9404,0.7882,0.6985,0.5405,0.3734
ndcg_5,0.01,0,0,0,1.0,32,0.5059,0.7791,0.7048,0.5724,0.4856,0.4206,0.3181
ndcg_5,1.0,0,0,0,1.0,32,0.8715,0.9428,0.9667,0.8548,0.753,0.5797,0.3954
ap,0.001,0,0,0,1.0,32,0.5062,0.7792,0.7042,0.5726,0.4858,0.4207,0.3181
ap,3.0,0,0,0,1.0,32,0.8675,0.9415,0.9632,0.8546,0.7522,0.5806,0.3962
ap,10.0,0,0,0,1.0,32,0.8672,0.9416,0.9639,0.8546,0.7522,0.5806,0.3962
rbp_80,0.001,0,0,0,1.0,32,0.8804,0.9476,0.9571,0.8759,0.7661,0.5920000000000001,0.4028
rbp_90,0.001,0,0,0,1.0,32,0.8804,0.9476,0.9571,0.8759,0.7661,0.5920000000000001,0.4028
rbp_95,0.001,0,0,0,1.0,32,0.8804,0.9476,0.9571,0.8759,0.7661,0.5920000000000001,0.4028
rbp_80,0.01,0,0,0,1.0,32,0.9073,0.9595,0.9683,0.9004,0.7848,0.6018,0.4067
rbp_90,0.01,0,0,0,1.0,32,0.9073,0.9595,0.9681,0.9004,0.7848,0.6018,0.4067
rbp_95,0.01,0,0,0,1.0,32,0.9073,0.9595,0.9681,0.9004,0.7848,0.6018,0.4067
rbp_80,0.1,0,0,0,1.0,32,0.9228,0.9659,0.9784,0.9122,0.794,0.6064,0.4085
rbp_90,0.1,0,0,0,1.0,32,0.9228,0.9659,0.9784,0.9122,0.794,0.6064,0.4085
rbp_95,0.1,0,0,0,1.0,32,0.9228,0.9659,0.9784,0.9122,0.794,0.6064,0.4085
rbp_80,1.0,0,0,0,1.0,32,0.7964,0.9159999999999999,0.8809,0.8289,0.7122,0.5643,0.3907
rbp_90,1.0,0,0,0,1.0,32,0.7964,0.9159999999999999,0.8809,0.8289,0.7122,0.5643,0.3907
rbp_95,1.0,0,0,0,1.0,32,0.7964,0.9159999999999999,0.8809,0.8289,0.7122,0.5643,0.3907
