loss_type: rbp_90, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8789, AP = 0.7668, RR = 0.785, RBP_80 = 0.6577, RBP_90 = 0.5319, RBP_95 = 0.374, 
loss_type: rbp_90, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8133, AP = 0.6315, RR = 0.7439, RBP_80 = 0.5539, RBP_90 = 0.4629, RBP_95 = 0.3387, 
loss_type: rbp_90, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7777, AP = 0.5572, RR = 0.7341, RBP_80 = 0.4933, RBP_90 = 0.4143, RBP_95 = 0.3109, 
loss_type: rbp_95, lr: 0.001, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9293, AP = 0.8322, RR = 0.9449, RBP_80 = 0.7372, RBP_90 = 0.5716, RBP_95 = 0.3916, 
loss_type: rbp_95, lr: 0.01, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9436, AP = 0.8593, RR = 0.961, RBP_80 = 0.7581, RBP_90 = 0.5819, RBP_95 = 0.3956, 
loss_type: rbp_95, lr: 0.1, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9488, AP = 0.8696, RR = 0.9653, RBP_80 = 0.7663, RBP_90 = 0.5858, RBP_95 = 0.3969, 
loss_type: rbp_95, lr: 1.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8789, AP = 0.7668, RR = 0.785, RBP_80 = 0.6577, RBP_90 = 0.5319, RBP_95 = 0.374, 
loss_type: rbp_95, lr: 3.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8131, AP = 0.6312, RR = 0.7439, RBP_80 = 0.5535, RBP_90 = 0.4627, RBP_95 = 0.3388, 
loss_type: rbp_95, lr: 10.0, frac: 2.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7777, AP = 0.5572, RR = 0.7341, RBP_80 = 0.4933, RBP_90 = 0.4143, RBP_95 = 0.3109, 
loss_type: ndcg_5, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.54, AP = 0.2208, RR = 0.3641, RBP_80 = 0.1657, RBP_90 = 0.1639, RBP_95 = 0.1522, 
loss_type: ndcg_5, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5422, AP = 0.223, RR = 0.37, RBP_80 = 0.1691, RBP_90 = 0.1661, RBP_95 = 0.1533, 
loss_type: ndcg_5, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7803, AP = 0.5416, RR = 0.802, RBP_80 = 0.5043, RBP_90 = 0.3946, RBP_95 = 0.2853, 
loss_type: ndcg_5, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8857, AP = 0.7296, RR = 0.9208, RBP_80 = 0.6657, RBP_90 = 0.5139, RBP_95 = 0.3568, 
loss_type: ndcg_5, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8859, AP = 0.7296, RR = 0.922, RBP_80 = 0.666, RBP_90 = 0.514, RBP_95 = 0.3568, 
loss_type: ndcg_5, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8855, AP = 0.7285, RR = 0.923, RBP_80 = 0.665, RBP_90 = 0.5132, RBP_95 = 0.3564, 
loss_type: dcg, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.54, AP = 0.2209, RR = 0.3641, RBP_80 = 0.1657, RBP_90 = 0.1639, RBP_95 = 0.1522, 
