loss_type: rr, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6687, AP = 0.4247, RR = 0.5625, RBP_80 = 0.3293, RBP_90 = 0.2919, RBP_95 = 0.2185, 
loss_type: rr, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6701, AP = 0.4257, RR = 0.5682, RBP_80 = 0.3304, RBP_90 = 0.2922, RBP_95 = 0.2185, 
loss_type: rr, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7174, AP = 0.4655, RR = 0.7372, RBP_80 = 0.3744, RBP_90 = 0.3048, RBP_95 = 0.2212, 
loss_type: rr, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.726, AP = 0.4744, RR = 0.7583, RBP_80 = 0.3841, RBP_90 = 0.3079, RBP_95 = 0.222, 
loss_type: rr, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7304, AP = 0.4794, RR = 0.767, RBP_80 = 0.3906, RBP_90 = 0.3106, RBP_95 = 0.2228, 
loss_type: rr, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7326, AP = 0.4824, RR = 0.7684, RBP_80 = 0.3943, RBP_90 = 0.3123, RBP_95 = 0.2234, 
loss_type: rbp_80, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8708, AP = 0.7085, RR = 0.9264, RBP_80 = 0.5843, RBP_90 = 0.4136, RBP_95 = 0.2654, 
loss_type: rbp_80, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8713, AP = 0.7093, RR = 0.9273, RBP_80 = 0.585, RBP_90 = 0.4139, RBP_95 = 0.2655, 
loss_type: rbp_80, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8718, AP = 0.7097, RR = 0.9291, RBP_80 = 0.586, RBP_90 = 0.4143, RBP_95 = 0.2657, 
loss_type: rbp_80, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7695, AP = 0.5678, RR = 0.7279, RBP_80 = 0.4651, RBP_90 = 0.3636, RBP_95 = 0.2482, 
loss_type: rbp_80, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7676, AP = 0.5747, RR = 0.6846, RBP_80 = 0.4702, RBP_90 = 0.3679, RBP_95 = 0.2501, 
loss_type: rbp_80, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7276, AP = 0.4884, RR = 0.7198, RBP_80 = 0.3987, RBP_90 = 0.3212, RBP_95 = 0.2291, 
loss_type: rbp_90, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8708, AP = 0.7084, RR = 0.9267, RBP_80 = 0.5843, RBP_90 = 0.4136, RBP_95 = 0.2654, 
loss_type: rbp_90, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8713, AP = 0.7093, RR = 0.9273, RBP_80 = 0.585, RBP_90 = 0.4139, RBP_95 = 0.2655, 
loss_type: rbp_90, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8718, AP = 0.7097, RR = 0.9291, RBP_80 = 0.586, RBP_90 = 0.4143, RBP_95 = 0.2657, 
loss_type: rbp_90, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7695, AP = 0.5678, RR = 0.7279, RBP_80 = 0.4651, RBP_90 = 0.3636, RBP_95 = 0.2482, 
loss_type: rbp_90, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7676, AP = 0.5747, RR = 0.6846, RBP_80 = 0.4702, RBP_90 = 0.3679, RBP_95 = 0.2501, 
loss_type: rbp_90, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7276, AP = 0.4884, RR = 0.7198, RBP_80 = 0.3987, RBP_90 = 0.3212, RBP_95 = 0.2291, 
loss_type: rbp_95, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8708, AP = 0.7084, RR = 0.9267, RBP_80 = 0.5843, RBP_90 = 0.4136, RBP_95 = 0.2654, 
