loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp_95,10.0,4,0,0,5.0,32,0.3065,0.6031,0.5406,0.3159,0.2672,0.2192,0.1689
ap,0.001,4,0,0,1.0,32,0.5012,0.7724,0.6991,0.5885,0.4709,0.3798,0.2582
ap,0.01,4,0,0,1.0,32,0.5174,0.7804,0.7241,0.5966,0.4795,0.3832,0.2594
ap,0.1,4,0,0,1.0,32,0.7952,0.9136,0.9525,0.7966,0.6428,0.4553,0.2854
ap,1.0,4,0,0,1.0,32,0.7972,0.9146,0.9545,0.7978,0.6438,0.4555,0.2855
ap,3.0,4,0,0,1.0,32,0.7976,0.9147,0.9549,0.7979,0.6439,0.4555,0.2855
ap,10.0,4,0,0,1.0,32,0.7975,0.9147,0.9546,0.7981,0.644,0.4556,0.2855
rr,0.001,4,0,0,1.0,32,0.5003,0.7721,0.6984,0.5882,0.4705,0.3796,0.2581
rr,0.1,4,0,0,1.0,32,0.5479,0.7994,0.8027,0.6089,0.4907,0.3843,0.2589
rr,0.01,4,0,0,1.0,32,0.5019,0.7732,0.7024,0.589,0.4712,0.3798,0.2582
rr,1.0,4,0,0,1.0,32,0.5816,0.8151,0.8472,0.6242,0.5061,0.3888,0.2601
rr,3.0,4,0,0,1.0,32,0.5873,0.8172,0.8497,0.6268,0.5086,0.3896,0.2602
rr,10.0,4,0,0,1.0,32,0.5926,0.8194,0.8546,0.6295,0.5113,0.3905,0.2604
ap,0.1,4,0,0,2.0,32,0.7334,0.8702,0.9267,0.7063,0.5812,0.4136,0.266
ap,3.0,4,0,0,2.0,32,0.7323,0.8696,0.9247,0.7058,0.5808,0.4136,0.266
ap,1.0,4,0,0,2.0,32,0.7332,0.87,0.9261,0.7062,0.5811,0.4136,0.266
ap,10.0,4,0,0,2.0,32,0.7321,0.8691,0.9263,0.7041,0.5799,0.4128,0.2656
rr,0.001,4,0,0,2.0,32,0.3353,0.6678,0.5577,0.4242,0.3287,0.2917,0.2183
rr,0.01,4,0,0,2.0,32,0.3387,0.6695,0.564,0.4256,0.3301,0.2921,0.2184
rr,0.1,4,0,0,2.0,32,0.4287,0.7157,0.7327,0.4636,0.3729,0.3042,0.221
rr,1.0,4,0,0,2.0,32,0.4518,0.7266,0.7604,0.4748,0.3851,0.3085,0.2222
ap,0.001,4,0,0,2.0,32,0.3384,0.6692,0.5618,0.4258,0.3307,0.2926,0.2187
ap,0.01,4,0,0,2.0,32,0.5339,0.7697,0.7882,0.5518,0.4535,0.3522,0.2427
rr,3.0,4,0,0,2.0,32,0.4599,0.7289,0.7611,0.4781,0.3896,0.3105,0.2228
rr,10.0,4,0,0,2.0,32,0.4677,0.7326,0.7683,0.4824,0.3933,0.3117,0.2231
ap,0.01,4,0,0,5.0,32,0.6259,0.7913,0.8631,0.5672,0.4902,0.3458,0.2276
rr,0.01,4,0,0,5.0,32,0.2136,0.5523,0.4661,0.2557,0.1915,0.1722,0.1468
rr,0.1,4,0,0,5.0,32,0.2909,0.5914,0.5914,0.2898,0.2369,0.1906,0.1524
rr,3.0,4,0,0,5.0,32,0.32299999999999995,0.6077,0.6378,0.305,0.2563,0.1992,0.1553
rr,0.001,4,0,0,5.0,32,0.1682,0.5275,0.366,0.2367,0.1673,0.1636,0.1446
ap,0.001,4,0,0,5.0,32,0.2215,0.5545,0.4464,0.2621,0.2031,0.1832,0.1539
ap,10.0,4,0,0,5.0,32,0.591,0.7659999999999999,0.8472,0.5242,0.45799999999999996,0.3226,0.2153
ap,1.0,4,0,0,5.0,32,0.6375,0.7967,0.8721,0.5755,0.4987,0.3503,0.2293
rr,1.0,4,0,0,5.0,32,0.3037,0.598,0.6114,0.2957,0.2439,0.1932,0.153
rr,10.0,4,0,0,5.0,32,0.3342,0.6138,0.6457,0.3121,0.2648,0.2038,0.1571
ap,3.0,4,0,0,5.0,32,0.6335,0.7941,0.8687,0.5715,0.4956,0.3482,0.2283
ap,0.1,4,0,0,5.0,32,0.6374,0.7966,0.8717,0.5752,0.4985,0.3502,0.2293
dcg,0.01,4,0,1,1.0,32,0.5206,0.7833,0.7316,0.5996,0.4809,0.3834,0.2593
ndcg_5,0.01,4,0,1,1.0,32,0.5206,0.7833,0.7316,0.5996,0.4809,0.3834,0.2593
dcg,0.001,4,0,1,1.0,32,0.5028,0.7735,0.7026,0.5894,0.4718,0.3802,0.2584
