loss_type: ap, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.859, AP = 0.6869, RR = 0.9179, RBP_80 = 0.5609, RBP_90 = 0.4008, RBP_95 = 0.2584, 
loss_type: rr, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6685, AP = 0.4263, RR = 0.5607, RBP_80 = 0.3287, RBP_90 = 0.2909, RBP_95 = 0.2166, 
loss_type: rr, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6691, AP = 0.4267, RR = 0.563, RBP_80 = 0.3294, RBP_90 = 0.291, RBP_95 = 0.2166, 
loss_type: rr, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7058, AP = 0.455, RR = 0.7049, RBP_80 = 0.3612, RBP_90 = 0.299, RBP_95 = 0.2179, 
loss_type: rr, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7135, AP = 0.4631, RR = 0.7245, RBP_80 = 0.3695, RBP_90 = 0.3018, RBP_95 = 0.2187, 
loss_type: rr, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7159, AP = 0.4663, RR = 0.7277, RBP_80 = 0.3724, RBP_90 = 0.3031, RBP_95 = 0.219, 
loss_type: rr, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7172, AP = 0.4687, RR = 0.7246, RBP_80 = 0.3763, RBP_90 = 0.3046, RBP_95 = 0.2195, 
loss_type: rbp_80, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.851, AP = 0.6744, RR = 0.9069, RBP_80 = 0.5554, RBP_90 = 0.3942, RBP_95 = 0.2544, 
loss_type: rbp_80, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8562, AP = 0.6831, RR = 0.9133, RBP_80 = 0.5623, RBP_90 = 0.3972, RBP_95 = 0.2555, 
loss_type: rbp_80, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8603, AP = 0.6892, RR = 0.9206, RBP_80 = 0.5668, RBP_90 = 0.3991, RBP_95 = 0.2561, 
loss_type: rbp_80, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7707, AP = 0.5717, RR = 0.7282, RBP_80 = 0.4652, RBP_90 = 0.3619, RBP_95 = 0.2453, 
loss_type: rbp_80, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7719, AP = 0.5771, RR = 0.7094, RBP_80 = 0.4706, RBP_90 = 0.3635, RBP_95 = 0.2454, 
loss_type: rbp_80, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.718, AP = 0.4822, RR = 0.6857, RBP_80 = 0.3856, RBP_90 = 0.3156, RBP_95 = 0.2256, 
loss_type: rbp_90, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.851, AP = 0.6744, RR = 0.9069, RBP_80 = 0.5554, RBP_90 = 0.3942, RBP_95 = 0.2544, 
