loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
ndcg_5,10.0,4,0,0,2.0,32,0.7082,0.8582,0.9161,0.6857,0.5606,0.4001,0.258
ap,0.001,4,0,0,2.0,32,0.3396,0.6702,0.564,0.4284,0.331,0.2921,0.2171
ap,0.01,4,0,0,2.0,32,0.4671,0.7368,0.7412,0.5017,0.4059,0.3247,0.22899999999999998
ap,0.1,4,0,0,2.0,32,0.7089,0.857,0.9145,0.6833,0.5596,0.3988,0.2572
ap,3.0,4,0,0,2.0,32,0.7101,0.8595,0.9165,0.6881,0.5623,0.4012,0.2585
ap,10.0,4,0,0,2.0,32,0.7073,0.8590000000000001,0.9179,0.6869,0.5609,0.4008,0.2584
rbp_80,0.001,4,0,0,2.0,32,0.7070000000000001,0.851,0.9069,0.6744,0.5554,0.3942,0.2544
rbp_90,0.001,4,0,0,2.0,32,0.7070000000000001,0.851,0.9069,0.6744,0.5554,0.3942,0.2544
rbp_95,0.001,4,0,0,2.0,32,0.7070000000000001,0.851,0.9069,0.6744,0.5554,0.3942,0.2544
rbp_80,0.01,4,0,0,2.0,32,0.7191,0.8562,0.9133,0.6831,0.5623,0.3972,0.2555
rbp_90,0.01,4,0,0,2.0,32,0.7191,0.8562,0.9133,0.6831,0.5623,0.3972,0.2555
rbp_95,0.01,4,0,0,2.0,32,0.7191,0.8562,0.9133,0.6831,0.5623,0.3972,0.2555
rbp_80,0.1,4,0,0,2.0,32,0.7276,0.8603,0.9206,0.6892,0.5668,0.3991,0.2561
rbp_90,0.1,4,0,0,2.0,32,0.726,0.8599,0.9195,0.6888,0.5667,0.3992,0.2561
rbp_95,0.1,4,0,0,2.0,32,0.726,0.8599,0.9195,0.6888,0.5667,0.3992,0.2561
rbp_80,1.0,4,0,0,2.0,32,0.5348,0.7707,0.7282,0.5717,0.4652,0.3619,0.2453
rbp_90,1.0,4,0,0,2.0,32,0.5348,0.7707,0.7282,0.5717,0.4652,0.3619,0.2453
rbp_95,1.0,4,0,0,2.0,32,0.5348,0.7707,0.7282,0.5717,0.4652,0.3619,0.2453
rbp_80,3.0,4,0,0,2.0,32,0.5472,0.7719,0.7094,0.5771,0.4706,0.3635,0.2454
rbp_90,3.0,4,0,0,2.0,32,0.5472,0.7719,0.7094,0.5771,0.4706,0.3635,0.2454
rbp_95,3.0,4,0,0,2.0,32,0.5472,0.7718,0.7092,0.5771,0.4706,0.3635,0.2454
rbp_80,10.0,4,0,0,2.0,32,0.433,0.718,0.6857,0.4822,0.3856,0.3156,0.2256
rbp_90,10.0,4,0,0,2.0,32,0.4329,0.718,0.6855,0.4821,0.3855,0.3156,0.2256
rbp_95,10.0,4,0,0,2.0,32,0.4329,0.718,0.6856,0.4821,0.3855,0.3156,0.2256
rr,0.01,4,0,0,2.0,32,0.3378,0.6691,0.563,0.4267,0.3294,0.29100000000000004,0.2166
